TYPE;STATUT;ADRESSE;ARRONDISSEMENT;HORAIRE;ACCES_PMR;RELAIS_BEBE;URL_FICHE_EQUIPEMENT;geo_shape;geo_point_2d
SANISETTE;;189  RUE D ALESIA;75014;24 h / 24;Oui;;;"{""coordinates"": [[2.3161093935172774, 48.83125608516332]], ""type"": ""MultiPoint""}";48.83125608516332, 2.3161093935172774
SANISETTE;;199  AVENUE DU MAINE;75014;6 h - 22 h;Oui;;;"{""coordinates"": [[2.3263079060218357, 48.82961024511326]], ""type"": ""MultiPoint""}";48.82961024511326, 2.3263079060218357
SANISETTE;;22  RUE GROS;75016;6 h - 22 h;Oui;;;"{""coordinates"": [[2.2754887611741776, 48.851292679287646]], ""type"": ""MultiPoint""}";48.851292679287646, 2.2754887611741776
SANISETTE;;16  AVENUE DU PARC DES PRINCES;75016;6 h - 22 h;Oui;;;"{""coordinates"": [[2.2546109087403283, 48.84122995590827]], ""type"": ""MultiPoint""}";48.84122995590827, 2.2546109087403283
SANISETTE;;25  AVENUE DE CLICHY;75017;6 h - 22 h;Oui;;;"{""coordinates"": [[2.326343623788682, 48.88565931519142]], ""type"": ""MultiPoint""}";48.88565931519142, 2.326343623788682
SANISETTE;;138  RUE DES POISSONNIERS;75018;6 h - 22 h;Oui;;;"{""coordinates"": [[2.353016460359781, 48.89635962022957]], ""type"": ""MultiPoint""}";48.89635962022957, 2.353016460359781
SANISETTE;;PLACE DE LA CHAPELLE;75018;6 h - 22 h;Oui;;;"{""coordinates"": [[2.359098476818891, 48.88464490930496]], ""type"": ""MultiPoint""}";48.88464490930496, 2.359098476818891
SANISETTE;;9  BOULEVARD NEY;75018;6 h - 22 h;Oui;;;"{""coordinates"": [[2.3416420008837107, 48.89775890686294]], ""type"": ""MultiPoint""}";48.89775890686294, 2.3416420008837107
SANISETTE;;177  AVENUE DE FLANDRE;75019;6 h - 22 h;Oui;;;"{""coordinates"": [[2.382026907945904, 48.89474105377585]], ""type"": ""MultiPoint""}";48.89474105377585, 2.382026907945904
SANISETTE;;face au 45 AVENUE SIMON BOLIVAR;75019;24 h / 24;Oui;;;"{""coordinates"": [[2.3805412942460036, 48.87623316458195]], ""type"": ""MultiPoint""}";48.87623316458195, 2.3805412942460036
SANISETTE;;1  RUE DE BUZENVAL;75020;6 h - 22 h;Oui;;;"{""coordinates"": [[2.4025839288873647, 48.84910044336136]], ""type"": ""MultiPoint""}";48.84910044336136, 2.4025839288873647
SANISETTE;;AVENUE DU PROFESSEUR ANDRE LEMIERE;75020;6 h - 22 h;Oui;;;"{""coordinates"": [[2.4147151114105814, 48.8583381131561]], ""type"": ""MultiPoint""}";48.8583381131561, 2.4147151114105814
SANISETTE;;117  RUE MONTMARTRE;75002;6 h - 22 h;Oui;;;"{""coordinates"": [[2.343235945649151, 48.86874906648294]], ""type"": ""MultiPoint""}";48.86874906648294, 2.343235945649151
